procedures,provstem,gp_prov_address_suburb,gp_prov_address_state,gp_prov_address_postcode,lon,lat
187,011239,KOTARA,NSW,2289,151.7101,-32.94857
95,011349,COFFS HARBOUR,NSW,2450,152.6583,-30.09773
1,011374,CAMPERDOWN,NSW,2050,151.176,-33.89037
8,011389,G,NSW,2206,151.1229,-33.92606
184,011413,AUCHENFLOWER,QLD,4066,152.9641,-27.47987
1,011466,193 MACQUARIE ST,NSW,2001,NULL,NULL
235,011468,SUNNYBANK,QLD,4109,153.0574,-27.57925
118,011558,AUCHENFLOWER,QLD,4066,152.9641,-27.47987
5,011612,BRISBANE,QLD,4001,NULL,NULL
1,011970,COOPERS PLAINS,QLD,4108,153.0202,-27.56836
203,011970,MARDEN,SA,5070,138.6422,-34.9005
2,012255,BEDFORD PARK,SA,5042,138.575,-35.00734
14,012255,BERRI,SA,5343,140.5562,-34.32129
4,012255,CAIRNS,QLD,4870,145.7423,-16.92376
54,012255,PORT ADELAIDE,SA,5015,138.5316,-34.80842
12,012255,SOUTH HEDLAND,WA,6722,118.6067,-20.40785
186,012280,DOUGLAS,QLD,4814,146.7547,-19.28582
19,012280,DOUGLAS,QLD,4817,146.6523,-19.3105
1,012280,INALA,QLD,4817,146.6523,-19.3105
1,012280,PIMLICO,QLD,4812,146.7877,-19.28663
364,012285,BENTLEIGH,VIC,3204,145.0368,-37.91696
2,012285,BENTLEIGH EAST,VIC,3165,145.0594,-37.92237
1,012285,CLAYTON,VIC,3168,145.1266,-37.91342
1,012285,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
230,012287,BRISBANE,QLD,4000,153.0221,-27.46839
1,012287,SOUTH BRISBANE,QLD,4101,153.0097,-27.48425
1,012287,SPRING HILL,QLD,4000,153.0221,-27.46839
24,012321,MOUNT LAWLEY,WA,6050,115.8719,-31.93057
138,012321,PERTH,WA,6000,115.8599,-31.94876
4,012321,SUBIACO,WA,6008,115.8114,-31.9566
1,012383,BROKEN HILL,NSW,2880,142.2034,-30.17044
1,012383,ORANGE,NSW,2800,149.1163,-33.23393
1,012524,BOWRAL,NSW,2576,150.5035,-34.52561
50,012776,GLEN WAVERLEY,VIC,3150,145.1708,-37.87697
52,012776,LEONGATHA,VIC,3953,145.9952,-38.46013
28,012776,MOUNT WAVERLEY,VIC,3149,145.1281,-37.88075
2,013121,PERTH,WA,6000,115.8599,-31.94876
1,013213,BENDIGO,VIC,3550,144.2853,-36.76427
94,013224,WOLLONGONG,NSW,2500,150.8743,-34.42317
1,013256,U 9 CIVIC PLAZA,NSW,2165,150.9475,-33.87244
2,013286,MENINGIE,SA,5264,139.2757,-35.66995
198,013286,MOUNT BARKER,SA,5251,138.8818,-35.09326
51,013286,STIRLING,SA,5152,138.704,-34.9984
2,013286,SWAN HILL,VIC,3585,143.3369,-35.34839
142,013659,SUNNYBANK,QLD,4109,153.0574,-27.57925
30,013669,BIRTINYA,QLD,4575,153.1195,-26.74204
4,013825,KOGARAH,NSW,2217,151.1404,-33.97435
2,014090,BERRI,SA,5343,140.5562,-34.32129
6,014090,GLADSTONE,QLD,4680,151.9173,-23.44683
10,014090,MACKAY,QLD,4740,149.0597,-21.33763
25,014090,SHEPPARTON,VIC,3630,145.4032,-36.38085
308,014310,EVERTON PARK,QLD,4053,152.9872,-27.39957
1,014443,PARKVILLE,VIC,3052,144.9489,-37.789
44,014696,DUBBO,NSW,2830,148.6573,-32.24224
168,014724,ASHFORD,SA,5035,138.5752,-34.95208
22,014840,RANDWICK,NSW,2031,151.2392,-33.91483
142,015073,ST LEONARDS,NSW,2065,151.1922,-33.82836
282,015082,EAST LAUNCESTON,TAS,7250,147.0776,-41.43225
1,015216,60 LEICESTER ST,SA,5063,138.6215,-34.95433
1,015217,ALICE SPRINGS,NT,0870,130.8406,-12.4361
24,015218,ADELAIDE,SA,5000,138.6086,-34.93746
719,015218,BEDFORD PARK,SA,5042,138.575,-35.00734
1,015218,G,SA,5006,138.5845,-34.91152
1,015218,ROSE PARK,SA,5067,138.6306,-34.91999
832,015218,TOORAK GARDENS,SA,5065,138.634,-34.94036
1,015219,WOODVILLE SOUTH,SA,5011,NULL,NULL
1,015278,TOORAK GARDENS,SA,5065,138.634,-34.94036
9,015516,GREENSLOPES,QLD,4120,153.0442,-27.50871
83,015557,ASHFORD,SA,5035,138.5752,-34.95208
6,015877,NORWOOD,SA,5067,138.6306,-34.91999
3,016218,273 WAKEFIELD ST,SA,5000,138.6086,-34.93746
1,016269,BROKEN HILL,NSW,2880,142.2034,-30.17044
1,016342,ALSTONVILLE,NSW,2477,153.4273,-28.90767
71,016342,BAIRNSDALE,VIC,3875,147.5611,-37.67046
1,016342,GIPPSLAND CONSULTING SUI,VIC,3844,146.6071,-38.31687
3,016342,KATHERINE,NT,0850,132.262,-14.4645
1,016342,KATHERINE,NT,0852,133.0647,-14.92267
10,016342,PALMERSTON,NT,0830,130.9726,-12.48723
1,016342,SANDRINGHAM HOSPITAL,VIC,3191,145.0135,-37.95658
60,016342,TIWI,NT,0810,130.877,-12.37845
191,016557,FRANKSTON,VIC,3199,145.136,-38.16258
1,016750,CHARLEVILLE,QLD,4470,145.9581,-26.20863
1,016750,CHINCHILLA,QLD,4413,150.6386,-26.36023
2,016750,COFFS HARBOUR,NSW,2450,152.6583,-30.09773
1,016750,KINGAROY,QLD,4610,151.5226,-26.5769
2,016750,LONGREACH,QLD,4730,143.4025,-23.79071
1,016750,ST GEORGE,QLD,4487,148.4085,-27.93119
1,016750,STANTHORPE,QLD,4380,151.6754,-28.66459
112,016933,HOPPERS CROSSING,VIC,3029,144.7058,-37.83717
5,016933,MILDURA,VIC,3500,142.1542,-34.1931
2,016933,ORANGE,NSW,2800,149.1163,-33.23393
6,016933,TRUGANINA,VIC,3029,144.7058,-37.83717
322,016934,BOX HILL,VIC,3128,145.1224,-37.82887
1,017146,DIANELLA,WA,6059,NULL,NULL
124,017236,PARKVILLE,VIC,3052,144.9489,-37.789
1,017324,MOOROOPNA,VIC,3629,145.2607,-36.28731
61,017560,ESSENDON,VIC,3040,144.9026,-37.75185
1,017575,2 GEORGE ST,VIC,3109,145.1617,-37.78479
116,017575,FITZROY,VIC,3065,144.9778,-37.80261
1,017575,ST KILDA,VIC,3182,144.9795,-37.86532
288,017656,BENOWA,QLD,4217,153.4122,-28.00878
6,017751,ST ALBANS,VIC,3021,144.7967,-37.74336
1,017751,SUNBURY,VIC,3429,144.729,-37.56762
225,017755,FITZROY,VIC,3065,144.9778,-37.80261
1,017772,LATROBE,TAS,7307,146.5736,-41.21049
5,017841,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
4,018218,BALWYN NORTH,VIC,3104,145.0817,-37.79369
185,018369,HYDE PARK,QLD,4812,146.7877,-19.28663
1,018524,VERMONT,VIC,3133,145.1923,-37.84879
10,018631,BROOME,WA,6725,122.7538,-18.77337
1,018631,DERBY,WA,6728,124.592,-17.09061
6,018631,KUNUNURRA,WA,6743,129.662,-17.29353
47,018631,LATROBE,TAS,7307,146.5736,-41.21049
6,018871,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
1,018871,FITZROY,VIC,3065,144.9778,-37.80261
368,018940,ASHFIELD,NSW,2131,151.124,-33.8876
47,018940,CHATSWOOD,NSW,2067,151.1771,-33.79838
2,018940,COBAR,NSW,2835,145.4066,-31.55182
1,018941,COORPAROO,QLD,4151,153.0586,-27.50081
1,019041,RIVERVALE,WA,6103,115.9135,-31.96036
1,019925,NORTHBRIDGE,WA,6003,NULL,NULL
1,020315,SOUTH PERTH,WA,6151,115.8695,-31.9822
1,020348,CARMEL,WA,6076,116.2083,-32.10896
1,020463,10 GREGORY ST,WA,6014,115.8082,-31.93639
41,020706,RANDWICK,NSW,2031,151.2392,-33.91483
239,020711,NORTH ADELAIDE,SA,5006,138.5845,-34.91152
1,021137,BLACKTOWN,NSW,2148,150.9005,-33.78375
1,021539,HEALTH CENTRE,NSW,2731,144.6418,-35.89339
74,021618,GREENFIELDS,WA,6210,115.7283,-32.55798
255,021618,ROCKINGHAM,WA,6168,115.7577,-32.28196
2,022071,COSMETIQUE COSMETIC SURG,WA,6008,115.8114,-31.9566
618,022071,WOODVALE,WA,6026,115.7998,-31.80171
1,022343,LIVERPOOL,NSW,2170,150.9214,-33.92839
18,022423,WEST LEEDERVILLE,WA,6007,115.8343,-31.93567
27,022671,ASHFORD,SA,5035,138.5752,-34.95208
199,022671,GOODWOOD,SA,5034,138.5881,-34.95623
1,022943,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
3109,022943,PARKVILLE,VIC,3052,144.9489,-37.789
2,023180,CHARLEVILLE,QLD,4470,145.9581,-26.20863
2,023180,DALBY,QLD,4405,150.911,-27.3168
3,023180,GOONDIWINDI,QLD,4390,150.321,-28.22891
1,023180,KINGAROY,QLD,4610,151.5226,-26.5769
3,023180,LONGREACH,QLD,4730,143.4025,-23.79071
5,023180,MOSSMAN,QLD,4873,145.2991,-16.23085
2,023180,ROMA,QLD,4455,148.6902,-26.73282
195,023180,SOUTH BRISBANE,QLD,4101,153.0097,-27.48425
2,023180,STANTHORPE,QLD,4380,151.6754,-28.66459
